Address,Company,Title,Career,Skill,URL,InfoDetails,Tag,D_day
서초구,㈜이노포스트,[경력/신입] 공공데이터 및 데이터기반 행정 유경험자 특별 채용,신입·경력 (3년이상),"Hadoop, SQL, BigQuery, DBMS, JSON, 정보처리기사 자격",https://www.jobkorea.co.kr/Recruit/GI_Read/44527723?rPageCode=SL&logpath=21&sn=6,,참 괜찮은 중소기업 선정 기업IT 개발자 전문 채용관 데이터엔지니어 빅데이터 ETL 데이터사이언티스트 데이터분석 머신러닝엔지니어 솔루션·SI·CRM·ERP 솔루션 소프트웨어개발 DataMining BigData 서울 > 서초구,시작일 2024.04.23(화) 마감일 2024.06.22(토)
서초구,로민,멀티모달 엔지니어 채용,경력 (5년이상),"OpenCV, Python, Pytorch, Tensorflow, detectron2, onnx, mmdetection, AdelaiDet",https://www.jobkorea.co.kr/Recruit/GI_Read/44522135?rPageCode=SL&logpath=21&sn=6,,잡아바 추천 TOP 기업 온라인 채용관참 괜찮은 중소기업 선정 기업IT 개발자 전문 채용관 데이터엔지니어 빅데이터 머신러닝엔지니어 딥러닝 인공지능 솔루션·SI·CRM·ERP 솔루션 소프트웨어개발 서울 > 서초구,시작일 2024.04.22(월) 마감일 2024.05.31(금)
강남구,㈜브이알크루,멀티모달 LLM 총괄자 모집,경력 (5년이상),,https://www.jobkorea.co.kr/Recruit/GI_Read/44481823?rPageCode=SL&logpath=21&sn=6,,IT 개발자 전문 채용관 머신러닝엔지니어 자연어처리(NLP) 음성인식 인공지능 딥러닝 모바일·APP 증강현실 서울 > 강남구,시작일 2024.04.17(수) 마감일 2024.06.16(일)
강남구,에스디티 주식회사,기업부설연구소 Linux & Yocto 채용,경력 (3년이상),"기본우대 관련 학과 전공자 우대전공 기계·메카트로닉스·로봇
더보기",https://www.jobkorea.co.kr/Recruit/GI_Read/44457811?rPageCode=SL&logpath=21&sn=6,,IT 개발자 전문 채용관 시스템엔지니어 하드웨어개발자 머신러닝엔지니어 인공지능 H/W 제품개발 컴퓨터·하드웨어·장비 스토리지 컴퓨터 펌웨어 하드웨어 AS 서울 > 강남구,시작일 2024.04.15(월) 마감일 2024.05.31(금)
금천구,㈜파비스,"[FAVIS] 머신비전 시스템제어 및 개발 부문 S/W 프로그램 엔지니어, C/S 엔지니어 상시모집",경력무관,"C#, C++, 영어회화, 1종보통운전면허, 2종보통운전면허, 운전면허, 컴퓨터활용능력",https://www.jobkorea.co.kr/Recruit/GI_Read/44494973?rPageCode=SL&logpath=21&sn=6,,IT 개발자 전문 채용관 머신러닝엔지니어 공정엔지니어 자동화라인 기계·기계설비 자동화설비 서울 > 금천구,시작일 2024.04.18(목) 마감일 2024.06.17(월)
강남구,㈜브이알크루,멀티모달 LLM 연구원 모집,경력 (2년이상),,https://www.jobkorea.co.kr/Recruit/GI_Read/44481177?rPageCode=SL&logpath=21&sn=6,,IT 개발자 전문 채용관 머신러닝엔지니어 자연어처리(NLP) 음성인식 인공지능 딥러닝 모바일·APP 증강현실 서울 > 강남구,시작일 2024.04.17(수) 마감일 2024.06.16(일)
금천구,㈜인디비정보시스템,AI Engineer 경력자 채용,경력 (2년이상),,https://www.jobkorea.co.kr/Recruit/GI_Read/44409359?rPageCode=SL&logpath=21&sn=6,,IT 개발자 전문 채용관 머신러닝엔지니어 인공지능 솔루션·SI·CRM·ERP 서울 > 금천구,시작일 2024.04.08(월) 마감일 2024.06.07(금)
강남구,㈜이엑서비션,모델링 이미지 프로세싱 개발 구인 합니다.,경력 (2년이상),"Keras, Pandas, Python, Pytorch, Scipy, Tensorflow",https://www.jobkorea.co.kr/Recruit/GI_Read/44301747?rPageCode=SL&logpath=21&sn=6,,IT 개발자 전문 채용관 머신러닝엔지니어 모델링 인공지능 이미지프로세싱 딥러닝 솔루션·SI·CRM·ERP 소프트웨어개발 모바일앱개발 서울 > 강남구,
서초구,㈜와이즈오토모티브,자율주행시스템 개발경력자 채용,경력,"C++, Python, ADAS, Autosar, DL, ROS, SLAM",https://www.jobkorea.co.kr/Recruit/GI_Read/44438477?rPageCode=SL&logpath=21&sn=6,,강소기업 채용관참 괜찮은 중소기업 선정 기업일학습병행 채용관IT 개발자 전문 채용관 시스템엔지니어 소프트웨어개발자 머신러닝엔지니어 딥러닝 이미지프로세싱 인공지능 전기·전자·제어 서울 > 서초구,
구로구,㈜트루엔,이미징(화질) 튜닝 포지션 집중 채용 (신입),신입,,https://www.jobkorea.co.kr/Recruit/GI_Read/44322611?rPageCode=SL&logpath=21&sn=6,,G밸리 우수기업 채용박람회보충역 산업기능요원 채용관참 괜찮은 중소기업 선정 기업일학습병행 채용관강소기업 채용관IT 개발자 전문 채용관 머신러닝엔지니어 이미지프로세싱 화질 튜닝 전기·전자·제어 서울 > 구로구,시작일 2024.03.27(수) 마감일 2024.05.26(일)
