Word,Score
기획,239.8021482375745
서비스,153.2617443471213
사업,148.09533905384853
담당자,126.62978963928661
매니저,123.0969186050003
개발,77.4901458149062
운영,75.03912125324145
프로,61.28406505696859
경영,57.777680256972204
전략,44.28948916882284
관리,42.332407328039956
담당,40.55623867681602
플랫폼,38.10938865481631
상품,35.95547164763573
회계,35.10659877108213
총무,32.93112019279526
글로벌,30.741298669185607
전략기획,27.778507777422387
재무회계,27.59432233783103
데이터,25.503705208961634
프로젝트,25.500993936158153
분석,23.71372199362508
컨설턴트,22.57042693364583
재무,22.099125300365873
신입,20.450443153878897
해외,20.07199811583859
교육,19.514709981746417
본부,18.219240672594974
브랜드,18.003510023849557
시니어,16.02302849916375
