Word,Score
보유,191.69908071499296
기획,179.5213759186211
관련,174.9233330368105
커뮤니케이션,171.12978984554053
서비스,156.62919048254798
관리,134.9715269379687
데이터,128.00331562766468
분석,127.15404550953444
문제,124.58513347385373
사업,120.7451486901674
이해,116.3224225645667
해결,109.98293750459669
협업,106.43403884307482
개발,100.04467626262155
운영,99.321595746228
유관,95.58699812988871
프로젝트,89.59770255879361
활용,88.75029785046856
이해도,85.38217372909703
작성,84.77252624797622
필수,81.96791104576779
전략,81.8772308039314
고객,80.18056088098804
비즈니스,75.92862945397124
주도,71.34501225625456
제품,70.14294929442696
논리,69.91886151156656
문서,67.49155744978523
사고,65.84938668676661
기술,60.574515526734324
