Word,Score
관련,206.09737099365165
보유,187.83910702929344
서비스,153.08064536106716
기획,141.9578697376398
스타트업,122.99825467656827
영어,122.51157714426293
운영,118.26896435950725
데이터,115.83014908887094
근무,108.92967880653438
분석,107.1167834095936
커뮤니케이션,104.89862715934677
이해도,103.62988762857935
개발,101.90994694005177
사업,100.44933024389806
활용,98.2317656291145
사용,98.17860616295418
이해,93.78848844444188
프로젝트,92.942241865875
관리,90.41819447479222
비즈니스,85.0835799304225
협업,79.48027954598396
관심,75.27898721880152
제품,69.23024550476883
분야,65.054494069505
문제,63.97168488982735
플랫폼,61.23624139697429
진행,60.20188203949723
채용,46.258509232875895
서류,37.66831715022379
전형,36.42757508092503
