Word,Score
강남구,262.27930010634424
서울특별시,233.693058704056
서울시,172.49621607817707
타워,156.55522956628758
빌딩,151.73663802020636
테헤란로,143.43267586242723
서울,142.2163478459254
서초구,103.38747647117425
성동구,74.6505127133456
강남대로,72.3146179433273
경기도,69.22734567783144
마포구,65.89899611534858
성남시,65.62807864256729
영등포구,53.45969765045959
분당구,49.864614619765035
디지털로,43.46199142531139
송파구,43.02811637472619
역삼동,41.42833879054962
중구,40.652915495531204
센터,37.039876306757634
선릉로,35.940811159702676
강남,33.19243350131409
스퀘어,31.198385491017696
봉은사로,29.306631439393435
서초대로,27.95734330971222
로길,26.242614255675942
구로구,25.77029844817509
번길,25.199376817315457
플러스,22.98133428879643
금융,21.87190115775673
