Word,Score
오피스,25.4877337841179
관리,15.509045159617036
전략,12.574389162847076
분석,12.474771041613957
기획,11.967845307253617
사업,9.09639591722815
회계,8.996257654526937
컨설팅,8.822887235933605
데이터,8.226528342186196
프로젝트,6.4649501881390625
서비스,6.355132795446212
소프트웨어,5.576462428491373
개발,5.273465991739748
디자인,4.8573669013988745
재무,4.294147863172591
계획,3.95243437976257
영어,3.4480074556348095
영업,3.165031880524313
비즈니스,3.1286310388647225
시장,3.0692525953585164
보안,3.0074651492970323
작성,2.9201189803896934
제안,2.4095742430416824
게임,2.2094310591845785
운영,1.9718962055829792
마케팅,1.8173313847238761
애자,1.728285085512758
솔루션,1.5182715078895084
예산,1.5048443233691184
실행,1.4580500753965022
