Word,Score
컴퍼니,42.41116886742195
에이,42.29112742211112
코리아,40.82545049258802
엑스,24.269160958344152
페이,22.318437295121367
코퍼레이션,21.9248041858418
테크,20.43391205682499
큐브,17.0
에스,14.429085845571786
소프트,14.0
랩스,13.0
홀딩스,12.0
한국,11.185928977894555
스트로,11.0
파트너,11.0
현대,10.933025814089605
에프,10.635974749365323
어스,10.583502994960178
토스,10.110315733974987
레브잇,10.0
플러스,10.0
브이,9.772862234077252
인터,9.403207873446638
에이치,9.393594985567539
데이터,9.298604260922684
패스트,9.0
테크놀로지,8.435633617974528
카드,8.206466059114353
서비스,6.582208048224621
릭스,5.671358283133056
